,Brewery_ID,Name,Type,ABV,IBU,Rating,Rating_Count
144,28,Zaydorf,Dark Ale,"
6.2% ABV ","
32 IBU ",(3.59),"
114 Ratings "
145,29,Electric Jellyfish,IPA - New England,"
6.5% ABV ","
N/A IBU ",(4.1),"
21,121 Ratings "
146,29,Training Bines,IPA - American,"
7.2% ABV ","
N/A IBU ",(4.06),"
4,298 Ratings "
147,29,Man O' War,IPA - American,"
6.5% ABV ","
N/A IBU ",(3.86),"
4,191 Ratings "
148,29,Bearded Seal,Stout - Irish Dry,"
6.1% ABV ","
N/A IBU ",(3.76),"
2,752 Ratings "
149,29,Fully Adrift,IPA - Imperial / Double,"
10.5% ABV ","
N/A IBU ",(4.16),"
2,272 Ratings "
150,30,Carl,Kölsch,"
4.6% ABV ","
27 IBU ",(3.59),"
3,431 Ratings "
151,30,Slater,IPA - American,"
6.8% ABV ","
50 IBU ",(3.78),"
1,535 Ratings "
152,30,Chico,Pale Ale - American,"
5.3% ABV ","
30 IBU ",(3.6),"
1,430 Ratings "
153,30,Angus,Stout - Irish Dry,"
5.1% ABV ","
25 IBU ",(3.63),"
1,375 Ratings "
154,30,Jan,IPA - International,"
7% ABV ","
45 IBU ",(3.64),"
969 Ratings "
155,31,Thirsty Goat Amber,Red Ale - American Amber / Red,"
6.8% ABV ","
30 IBU ",(3.61),"
26,343 Ratings "
156,31,Buckethead IPA,IPA - American,"
8.9% ABV ","
81 IBU ",(3.63),"
14,948 Ratings "
157,31,Yellow Armadillo Wheat,Wheat Beer - American Pale Wheat,"
4% ABV ","
18 IBU ",(3.35),"
3,037 Ratings "
158,31,Silverback Pale Ale,Pale Ale - American,"
5.5% ABV ","
N/A IBU ",(3.55),"
1,504 Ratings "
159,31,Smittlefest,Märzen,"
7% ABV ","
18 IBU ",(3.68),"
1,503 Ratings "
160,32,Calcifer,IPA - New England,"
6.66% ABV ","
N/A IBU ",(4.33),"
134 Ratings "
161,32,Low-key Loki,IPA - New England,"
7% ABV ","
N/A IBU ",(4.03),"
139 Ratings "
162,32,Sjöfn,Farmhouse Ale - Saison,"
5.5% ABV ","
N/A IBU ",(4.07),"
117 Ratings "
163,32,Dreamland,IPA - Milkshake,"
4.3% ABV ","
N/A IBU ",(3.79),"
115 Ratings "
164,32,Get Naked,IPA - New England,"
8.2% ABV ","
N/A IBU ",(4.03),"
121 Ratings "
165,33,Spirit Animal,Sour - Other,"
5.1% ABV ","
35 IBU ",(3.73),"
12,018 Ratings "
166,33,Professor Black,Sour - Other,"
6.1% ABV ","
40 IBU ",(3.73),"
10,867 Ratings "
167,33,Little Boss,Sour - Other,"
3.8% ABV ","
7 IBU ",(3.61),"
8,591 Ratings "
168,33,Van Dayum!,Sour - Other,"
5.7% ABV ","
32 IBU ",(3.65),"
8,154 Ratings "
169,33,Dapper Devil,Sour - Other,"
9% ABV ","
30 IBU ",(3.86),"
4,554 Ratings "
170,34,Mosaic IPA,IPA - American,"
6% ABV ","
50 IBU ",(3.72),"
222 Ratings "
171,34,Pale Ale,Pale Ale - American,"
5.5% ABV ","
25 IBU ",(3.6),"
152 Ratings "
172,34,Czech Pilsner,Pilsner - Czech,"
5.5% ABV ","
50 IBU ",(3.47),"
125 Ratings "
173,34,Citra Pale Ale,Pale Ale - American,"
5.5% ABV ","
N/A IBU ",(3.64),"
110 Ratings "
174,34,American Lager,Lager - American,"
5.2% ABV ","
N/A IBU ",(3.57),"
97 Ratings "
175,35,Noisy Cricket,IPA - Session / India Session Ale,"
4.7% ABV ","
N/A IBU ",(3.6),"
6,414 Ratings "
176,35,Fresh Coast IPA,IPA - American,"
7.5% ABV ","
N/A IBU ",(3.7),"
4,224 Ratings "
177,35,Springdale,Wheat Beer - Witbier,"
6% ABV ","
N/A IBU ",(3.59),"
1,996 Ratings "
178,35,Urban Chicken,Farmhouse Ale - Saison,"
4.9% ABV ","
29 IBU ",(3.48),"
1,611 Ratings "
179,35,Govalle,IPA - American,"
6.8% ABV ","
N/A IBU ",(3.67),"
1,036 Ratings "
180,36,Violet the Blueberry Blonde,Fruit Beer,"
5.1% ABV ","
15 IBU ",(3.71),"
2,636 Ratings "
181,36,Wooderson the Ageless Outlaw IPA,IPA - American,"
6.5% ABV ","
38 IBU ",(3.65),"
2,460 Ratings "
182,36,Shamus The Fiddler Irish Red,Red Ale - Irish,"
5.2% ABV ","
23 IBU ",(3.6),"
2,114 Ratings "
183,36,Hi-C IPA,IPA - New England,"
6.9% ABV ","
N/A IBU ",(3.83),"
1,599 Ratings "
184,36,Christie The American Blonde,Blonde Ale,"
5.6% ABV ","
N/A IBU ",(3.56),"
1,052 Ratings "
